sexo,idade,peso,altura,nivel,dias_disponiveis,tempo_disponivel,split
M,60,97.8,1.64,intermediario,5,40,Bro Split
M,59,98.7,1.61,iniciante,3,40,Full Body 3x
M,63,84.6,1.94,intermediario,6,60,Upper/Lower 3x
M,27,113.0,1.93,avancado,6,50,Upper/Lower 3x
F,48,47.5,1.62,avancado,6,50,Upper/Lower 3x
F,33,92.5,1.95,intermediario,6,80,Arnold Split
M,36,103.3,1.74,iniciante,4,80,Upper/Lower 2x
F,28,76.3,1.64,iniciante,5,50,Upper/Lower 3x + Full Body
M,29,64.0,1.62,intermediario,4,40,Full Body 4x
F,32,65.8,1.6,intermediario,3,80,Full Body 3x
F,46,68.8,1.97,iniciante,6,80,PPL 2x
F,59,71.9,1.87,avancado,4,60,Upper/Lower 2x
F,27,46.5,1.67,intermediario,6,70,PPL 2x
M,50,118.7,1.77,avancado,3,40,Full Body 3x
F,32,54.1,1.63,iniciante,6,60,PPL 2x
F,45,58.9,1.98,intermediario,3,60,Full Body 3x
M,45,120.0,1.67,intermediario,3,70,Full Body 3x
M,58,109.5,1.81,iniciante,6,70,PPL 2x
M,37,85.2,1.63,intermediario,3,70,Full Body 3x
F,24,50.4,1.51,iniciante,6,60,PPL 2x
M,43,93.5,1.92,iniciante,5,80,Upper/Lower 3x + Full Body
M,38,106.8,1.78,iniciante,6,70,PPL 2x
F,21,45.6,1.71,intermediario,6,90,PPL 2x
F,40,80.4,1.72,intermediario,5,70,Lower Focus (LULUL)
F,56,68.2,1.91,intermediario,5,80,Upper/Lower 2x + Full Body
M,49,73.1,1.73,avancado,6,60,PPL 2x
F,34,54.1,1.61,avancado,5,60,Lower Focus (LULUL)
F,38,72.8,1.76,iniciante,4,70,Upper/Lower 2x
M,34,99.9,1.82,intermediario,3,40,Full Body 3x
M,26,74.9,1.79,intermediario,5,60,Bro Split
F,45,62.6,1.73,iniciante,4,50,Full Body 4x
M,25,103.3,1.98,intermediario,4,50,Full Body 4x
F,34,94.0,1.92,iniciante,5,50,Upper/Lower 3x + Full Body
M,18,72.8,1.99,intermediario,4,70,Upper/Lower 2x
M,45,111.7,1.79,intermediario,6,60,Upper/Lower 3x
F,60,92.1,1.74,avancado,6,60,PPL 2x
M,37,64.9,1.91,avancado,3,100,PPL 1x
F,23,75.3,1.9,iniciante,6,60,PPL 2x
F,33,60.3,1.81,intermediario,3,80,Full Body 3x
M,26,72.2,1.54,iniciante,3,50,Full Body 3x
F,32,59.6,1.62,intermediario,6,40,Upper/Lower 3x
F,26,84.4,1.81,intermediario,4,60,Full Body 4x
M,36,114.0,1.91,iniciante,4,70,Upper/Lower 2x
F,38,67.0,1.73,iniciante,6,80,PPL 2x
F,35,66.9,1.8,avancado,5,70,Lower Focus (LULUL)
M,19,117.5,1.92,intermediario,3,100,Full Body 3x
F,41,73.8,1.88,iniciante,6,80,PPL 2x
F,25,76.7,1.75,iniciante,5,60,Upper/Lower 3x + Full Body
M,29,110.8,1.66,intermediario,5,70,Bro Split
M,31,84.6,1.66,iniciante,6,80,PPL 2x
M,49,97.7,1.77,intermediario,4,60,Full Body 4x
F,39,76.3,1.88,iniciante,4,80,Upper/Lower 2x
F,33,51.1,1.99,intermediario,4,70,Upper/Lower 2x
M,29,90.9,1.55,avancado,3,60,PPL 1x
M,23,87.4,1.86,intermediario,5,60,Bro Split
F,34,57.2,1.78,intermediario,4,80,Upper/Lower 2x
F,28,62.0,1.89,iniciante,3,60,Full Body 3x
F,28,88.3,1.72,intermediario,5,70,Lower Focus (LULUL)
F,36,91.6,1.93,avancado,4,70,Upper/Lower 2x
F,26,47.2,1.87,intermediario,6,60,Upper/Lower 3x
M,41,87.2,1.52,intermediario,5,80,UL PPL
F,52,50.0,1.96,iniciante,4,60,Upper/Lower 2x
M,41,59.9,1.89,iniciante,6,70,PPL 2x
F,51,92.7,1.81,avancado,6,80,PPL 2x
M,20,70.3,1.84,iniciante,4,70,Upper/Lower 2x
M,32,104.4,1.85,iniciante,4,70,Upper/Lower 2x
M,54,76.1,1.53,intermediario,6,50,Upper/Lower 3x
M,36,66.0,1.54,avancado,4,60,Upper/Lower 2x
M,38,85.0,1.63,iniciante,3,80,Full Body 3x
F,33,78.9,1.58,intermediario,5,100,Lower Focus (LULUL)
F,28,79.5,1.73,iniciante,6,80,PPL 2x
F,23,73.6,1.79,avancado,5,40,Lower Focus (LULUL)
F,49,58.7,1.78,intermediario,3,80,Full Body 3x
F,45,83.8,1.62,avancado,4,70,Upper/Lower 2x
M,39,95.8,1.95,intermediario,5,70,Bro Split
F,20,81.6,1.55,iniciante,6,50,PPL 2x
F,24,71.5,1.96,avancado,5,80,Lower Focus (LULUL)
F,58,82.3,1.67,iniciante,3,50,Full Body 3x
F,60,93.4,1.9,intermediario,6,40,Upper/Lower 3x
F,36,63.4,1.87,iniciante,6,80,PPL 2x
M,57,98.9,1.74,intermediario,5,80,UL PPL
M,26,96.3,1.73,intermediario,6,50,Upper/Lower 3x
M,20,74.8,1.75,iniciante,4,60,Upper/Lower 2x
F,30,74.4,1.86,avancado,3,80,PPL 1x
F,39,46.6,1.69,intermediario,4,80,Upper/Lower 2x
F,22,72.2,1.99,intermediario,6,60,Upper/Lower 3x
F,61,49.6,1.61,intermediario,3,40,Full Body 3x
M,29,106.2,1.6,avancado,4,70,Upper/Lower 2x
M,48,76.4,1.57,avancado,3,60,Full Body 3x
M,63,90.1,1.9,iniciante,3,50,Full Body 3x
M,30,93.3,1.51,iniciante,4,70,Upper/Lower 2x
M,36,86.0,1.89,intermediario,3,60,Full Body 3x
M,26,102.3,1.95,intermediario,5,60,Bro Split
M,60,119.9,1.92,intermediario,3,60,Full Body 3x
M,55,113.5,1.66,iniciante,4,60,Upper/Lower 2x
F,40,64.0,1.8,iniciante,6,40,PPL 2x
M,43,83.0,1.94,intermediario,6,60,Upper/Lower 3x
F,44,66.3,1.83,intermediario,4,70,Upper/Lower 2x
M,34,109.1,1.55,iniciante,5,80,Upper/Lower 3x + Full Body
F,37,78.5,1.71,avancado,6,80,PPL 2x
F,43,75.0,1.68,intermediario,4,50,Full Body 4x
M,34,77.8,1.78,iniciante,5,70,Upper/Lower 3x + Full Body
M,48,94.6,1.83,intermediario,3,50,Full Body 3x
F,43,91.1,1.68,iniciante,4,70,Upper/Lower 2x
M,31,103.2,1.99,iniciante,4,60,Upper/Lower 2x
M,33,79.1,1.86,avancado,3,80,PPL 1x
M,24,98.8,1.64,intermediario,6,70,Arnold Split
M,32,104.1,1.56,intermediario,5,70,Bro Split
F,38,47.3,1.7,intermediario,3,50,Full Body 3x
M,58,104.7,1.64,iniciante,6,70,PPL 2x
F,25,71.6,1.62,intermediario,5,40,Lower Focus (LULUL)
M,51,83.4,1.73,iniciante,5,70,Upper/Lower 3x + Full Body
F,37,59.5,1.7,avancado,4,80,Upper/Lower 2x
F,39,49.4,1.92,iniciante,6,60,PPL 2x
F,31,82.3,1.61,avancado,3,60,PPL 1x
M,23,113.9,1.67,intermediario,4,50,Full Body 4x
M,24,66.3,1.58,avancado,3,50,PPL 1x
F,46,68.2,1.78,intermediario,5,80,Upper/Lower 2x + Full Body
M,39,83.6,1.73,intermediario,5,70,Bro Split
M,30,75.2,1.73,iniciante,5,40,Upper/Lower 3x + Full Body
M,51,95.0,1.75,intermediario,3,60,Full Body 3x
M,48,75.9,1.74,iniciante,3,60,Full Body 3x
F,48,94.1,1.54,intermediario,3,50,Full Body 3x
F,33,71.2,1.8,intermediario,5,60,Lower Focus (LULUL)
M,46,106.3,1.82,iniciante,3,70,Full Body 3x
F,31,81.2,1.83,avancado,4,60,Upper/Lower 2x
M,38,114.6,1.66,intermediario,6,50,Upper/Lower 3x
M,43,75.1,1.69,avancado,4,70,Upper/Lower 2x
M,49,97.0,1.71,intermediario,5,60,Bro Split
F,59,92.4,1.74,iniciante,4,50,Full Body 4x
M,28,88.0,1.77,intermediario,3,70,Full Body 3x
M,52,93.8,1.58,iniciante,4,70,Upper/Lower 2x
F,20,78.8,1.62,intermediario,5,70,Lower Focus (LULUL)
M,47,89.7,1.65,avancado,6,80,PPL 2x
F,25,68.1,1.64,intermediario,6,90,PPL 2x
M,48,111.7,1.53,intermediario,5,70,Bro Split
M,23,73.5,1.88,iniciante,4,80,Upper/Lower 2x
M,22,108.1,1.94,avancado,6,40,Upper/Lower 3x
M,35,80.1,1.54,iniciante,5,80,Upper/Lower 3x + Full Body
F,50,84.6,1.57,iniciante,6,70,PPL 2x
F,24,67.4,1.5,iniciante,5,50,Upper/Lower 3x + Full Body
F,24,50.6,1.64,iniciante,3,50,Full Body 3x
F,40,48.1,1.92,intermediario,3,70,Full Body 3x
M,37,73.9,1.5,intermediario,6,50,Upper/Lower 3x
F,41,48.4,1.76,intermediario,3,60,Full Body 3x
F,34,94.1,1.63,iniciante,3,60,Full Body 3x
M,44,105.1,1.87,iniciante,3,60,Full Body 3x
M,29,109.0,1.84,avancado,6,70,PPL 2x
M,48,101.5,1.97,iniciante,4,40,Full Body 4x
M,25,75.5,1.66,intermediario,6,60,Upper/Lower 3x
M,45,73.6,1.93,iniciante,5,60,Upper/Lower 3x + Full Body
F,47,89.5,1.87,avancado,6,60,PPL 2x
F,25,63.4,1.9,iniciante,3,70,Full Body 3x
M,22,90.5,1.66,iniciante,5,60,Upper/Lower 3x + Full Body
F,38,53.3,1.72,intermediario,5,70,Lower Focus (LULUL)
M,32,59.9,1.82,intermediario,4,90,Upper/Lower 2x
F,24,46.7,1.53,avancado,5,60,Lower Focus (LULUL)
M,58,94.3,1.84,avancado,5,60,Bro Split
M,22,89.4,1.7,intermediario,4,90,Upper/Lower 2x
M,19,87.4,1.69,intermediario,5,70,Bro Split
M,43,119.8,1.64,avancado,6,50,Upper/Lower 3x
M,24,84.4,1.95,intermediario,3,80,Full Body 3x
F,61,78.4,1.85,intermediario,5,80,Upper/Lower 2x + Full Body
M,50,106.6,1.75,iniciante,4,70,Upper/Lower 2x
F,26,46.3,1.78,intermediario,4,70,Upper/Lower 2x
F,22,64.9,1.86,intermediario,6,70,PPL 2x
M,49,63.1,1.66,iniciante,6,70,PPL 2x
M,30,104.9,1.56,intermediario,3,80,Full Body 3x
F,35,53.2,1.66,intermediario,5,80,Lower Focus (LULUL)
F,35,87.3,1.63,intermediario,5,50,Lower Focus (LULUL)
M,28,87.7,1.58,avancado,4,50,Full Body 4x
F,39,87.1,1.78,avancado,3,40,PPL 1x
F,58,77.6,1.88,intermediario,3,60,Full Body 3x
F,39,77.1,1.65,iniciante,6,60,PPL 2x
M,21,65.3,1.71,intermediario,5,70,Bro Split
F,29,81.7,1.93,avancado,4,70,Upper/Lower 2x
M,35,75.7,1.73,iniciante,4,50,Full Body 4x
F,20,88.2,1.71,avancado,4,80,Upper/Lower 2x
F,57,54.5,1.58,avancado,6,60,PPL 2x
M,29,60.9,1.7,intermediario,4,50,Full Body 4x
M,30,73.3,1.8,avancado,6,60,PPL 2x
M,17,83.0,1.94,intermediario,6,60,Upper/Lower 3x
M,31,78.6,1.64,intermediario,6,70,PPL 2x
M,28,63.4,1.55,intermediario,5,70,Bro Split
M,30,67.9,1.75,intermediario,3,40,Full Body 3x
F,43,71.0,1.57,avancado,4,60,Upper/Lower 2x
M,39,80.5,1.81,avancado,5,60,Bro Split
F,35,80.4,1.65,avancado,5,60,Upper/Lower 2x + Full Body
F,23,74.2,1.9,intermediario,3,70,Full Body 3x
M,27,101.9,1.79,iniciante,6,50,PPL 2x
M,42,92.2,1.85,iniciante,6,60,PPL 2x
M,24,81.7,1.89,avancado,3,70,PPL 1x
F,35,94.9,1.74,intermediario,4,60,Full Body 4x
F,36,78.8,1.93,intermediario,5,70,Lower Focus (LULUL)
M,25,73.1,1.65,avancado,5,70,UL PPL
F,43,60.9,1.67,avancado,5,60,Lower Focus (LULUL)
F,37,89.8,1.7,iniciante,4,60,Upper/Lower 2x
M,28,77.5,1.72,iniciante,6,50,PPL 2x
F,49,91.7,1.85,iniciante,4,50,Full Body 4x
M,41,96.5,1.53,intermediario,6,50,Upper/Lower 3x
M,46,117.7,1.99,iniciante,6,60,PPL 2x
F,25,61.1,1.82,avancado,3,70,PPL 1x
M,26,114.4,1.59,avancado,4,80,Upper/Lower 2x
F,20,84.4,1.59,intermediario,5,80,Lower Focus (LULUL)
M,18,115.3,1.67,intermediario,6,80,Arnold Split
F,24,58.6,1.9,iniciante,6,70,PPL 2x
M,43,102.9,1.9,intermediario,4,50,Full Body 4x
F,51,86.3,1.76,iniciante,3,50,Full Body 3x
F,24,91.8,1.5,intermediario,6,70,Arnold Split
F,59,74.1,1.79,iniciante,5,70,Upper/Lower 3x + Full Body
M,21,85.3,1.58,intermediario,5,70,Bro Split
F,40,63.4,1.61,avancado,6,50,Upper/Lower 3x
F,45,65.8,1.77,intermediario,4,70,Upper/Lower 2x
M,42,89.2,1.76,intermediario,3,40,Full Body 3x
M,36,92.2,1.57,iniciante,6,50,PPL 2x
F,26,49.5,1.76,avancado,6,50,Upper/Lower 3x
M,32,91.3,1.84,iniciante,3,60,Full Body 3x
M,48,92.6,1.52,iniciante,3,60,Full Body 3x
M,21,119.1,1.74,iniciante,4,70,Upper/Lower 2x
F,46,63.7,1.95,intermediario,6,60,Upper/Lower 3x
M,42,97.5,1.67,iniciante,6,60,PPL 2x
M,44,109.3,1.88,avancado,6,70,PPL 2x
F,36,86.2,1.62,iniciante,5,50,Upper/Lower 3x + Full Body
M,52,57.1,1.83,intermediario,3,50,Full Body 3x
M,21,84.0,1.84,avancado,4,70,Upper/Lower 2x
M,31,90.1,1.88,avancado,4,60,Upper/Lower 2x
F,28,73.9,1.89,avancado,4,60,Upper/Lower 2x
M,24,81.9,1.64,intermediario,4,70,Upper/Lower 2x
F,32,47.3,1.67,intermediario,6,70,PPL 2x
F,29,65.4,1.65,iniciante,6,50,PPL 2x
M,26,107.4,1.96,intermediario,6,70,Arnold Split
M,24,71.6,1.67,iniciante,6,80,PPL 2x
M,22,58.3,1.69,intermediario,3,80,Full Body 3x
M,25,86.2,1.93,iniciante,3,50,Full Body 3x
M,25,103.5,1.88,avancado,4,60,Upper/Lower 2x
F,27,83.8,1.69,intermediario,5,60,Lower Focus (LULUL)
F,30,68.3,1.9,intermediario,5,80,Lower Focus (LULUL)
F,30,47.3,1.93,intermediario,3,60,Full Body 3x
F,57,59.8,1.6,iniciante,4,60,Upper/Lower 2x
F,41,57.9,1.91,avancado,6,60,PPL 2x
F,44,53.5,1.86,intermediario,3,60,Full Body 3x
M,50,116.4,1.83,avancado,6,50,Upper/Lower 3x
M,40,101.0,1.5,intermediario,5,40,Bro Split
F,40,78.0,1.51,intermediario,6,40,Upper/Lower 3x
F,36,71.8,1.64,intermediario,6,80,PPL 2x
M,55,114.7,1.76,iniciante,5,80,Upper/Lower 3x + Full Body
F,27,49.0,1.98,intermediario,4,100,Upper/Lower 2x
M,26,97.5,1.93,avancado,3,60,PPL 1x
F,31,47.8,1.5,iniciante,6,80,PPL 2x
F,40,73.3,1.93,iniciante,3,50,Full Body 3x
F,54,58.6,1.96,intermediario,5,80,Upper/Lower 2x + Full Body
M,37,66.7,1.93,iniciante,4,70,Upper/Lower 2x
F,45,91.4,1.65,intermediario,6,70,Arnold Split
F,36,82.8,1.57,avancado,3,60,PPL 1x
M,62,61.3,1.62,iniciante,6,90,PPL 2x
F,29,84.2,1.73,iniciante,6,60,PPL 2x
F,42,49.3,1.81,avancado,3,40,Full Body 3x
M,24,103.1,1.66,iniciante,3,80,Full Body 3x
F,33,50.1,1.54,intermediario,6,50,Upper/Lower 3x
M,22,93.8,1.89,avancado,3,60,PPL 1x
M,31,102.1,1.78,avancado,4,70,Upper/Lower 2x
F,25,53.5,1.63,iniciante,4,40,Full Body 4x
F,32,60.0,1.89,intermediario,4,70,Upper/Lower 2x
M,34,84.8,1.57,iniciante,6,60,PPL 2x
F,39,67.0,1.72,avancado,4,60,Upper/Lower 2x
M,38,86.1,1.59,intermediario,5,60,Bro Split
F,42,93.4,1.89,iniciante,5,80,Upper/Lower 3x + Full Body
M,31,115.6,1.6,avancado,4,70,Upper/Lower 2x
F,36,92.1,1.6,avancado,3,80,PPL 1x
F,47,78.6,1.57,iniciante,5,70,Upper/Lower 3x + Full Body
F,43,48.7,2.0,intermediario,6,60,Upper/Lower 3x
F,56,72.2,1.9,intermediario,3,50,Full Body 3x
F,27,53.3,1.81,intermediario,6,90,PPL 2x
F,29,50.3,1.55,iniciante,4,60,Upper/Lower 2x
M,31,77.4,1.51,iniciante,6,80,PPL 2x
M,22,77.6,1.67,avancado,6,60,PPL 2x
F,22,60.9,1.65,avancado,3,40,PPL 1x
M,30,99.0,1.58,avancado,4,60,Upper/Lower 2x
F,37,73.0,1.98,iniciante,6,70,PPL 2x
F,25,64.8,1.87,avancado,6,70,PPL 2x
M,31,68.4,1.88,avancado,3,70,PPL 1x
M,47,78.8,1.6,iniciante,6,60,PPL 2x
F,40,75.6,1.79,iniciante,6,70,PPL 2x
F,48,90.9,1.8,intermediario,5,50,Upper/Lower 2x + Full Body
M,28,79.3,1.57,intermediario,4,70,Upper/Lower 2x
F,32,76.8,1.85,intermediario,4,70,Upper/Lower 2x
M,34,67.2,1.92,intermediario,5,90,UL PPL
M,34,108.0,1.98,intermediario,6,60,Upper/Lower 3x
F,34,69.4,1.54,iniciante,4,60,Upper/Lower 2x
F,28,53.4,1.73,intermediario,6,60,Upper/Lower 3x
M,23,72.4,1.77,avancado,3,70,PPL 1x
M,33,119.3,1.55,avancado,4,60,Upper/Lower 2x
F,68,58.1,1.93,iniciante,3,70,Full Body 3x
F,26,88.1,1.81,intermediario,4,70,Upper/Lower 2x
M,48,92.1,1.77,intermediario,4,60,Full Body 4x
F,43,73.6,1.98,intermediario,3,50,Full Body 3x
F,45,90.9,2.0,avancado,4,70,Upper/Lower 2x
M,24,101.2,1.91,avancado,6,60,PPL 2x
F,37,76.4,1.69,iniciante,3,60,Full Body 3x
F,45,67.7,1.74,intermediario,3,70,Full Body 3x
F,33,87.5,1.9,intermediario,6,80,PPL 2x
F,34,86.4,1.67,intermediario,6,70,PPL 2x
M,53,58.0,1.81,avancado,3,50,Full Body 3x
F,51,67.8,2.0,intermediario,4,80,Upper/Lower 2x
F,28,49.7,1.68,iniciante,4,40,Full Body 4x
M,39,82.9,1.55,iniciante,4,60,Upper/Lower 2x
M,24,88.8,1.72,iniciante,5,80,Upper/Lower 3x + Full Body
F,64,79.7,1.74,iniciante,3,70,Full Body 3x
F,23,63.4,1.65,intermediario,4,70,Upper/Lower 2x
M,41,89.5,1.5,intermediario,6,60,Upper/Lower 3x
M,26,114.8,1.81,intermediario,4,40,Full Body 4x
M,22,93.3,1.69,avancado,5,70,UL PPL
M,27,71.1,1.8,intermediario,5,70,Bro Split
F,42,55.3,1.8,iniciante,6,60,PPL 2x
M,21,87.2,1.56,intermediario,3,60,Full Body 3x
F,62,91.7,1.57,avancado,6,60,PPL 2x
F,42,92.7,1.89,iniciante,3,40,Full Body 3x
M,26,116.7,1.7,iniciante,6,60,PPL 2x
M,31,73.0,1.65,intermediario,4,90,Upper/Lower 2x
F,24,64.5,1.82,avancado,3,60,PPL 1x
M,33,58.8,1.54,intermediario,6,70,PPL 2x
M,21,62.8,1.85,intermediario,4,60,Full Body 4x
F,30,53.3,1.56,avancado,5,70,Lower Focus (LULUL)
M,23,76.8,1.71,intermediario,5,70,Bro Split
M,37,87.2,1.76,iniciante,4,60,Upper/Lower 2x
M,27,113.1,1.84,iniciante,3,40,Full Body 3x
M,51,58.0,1.68,avancado,4,80,Upper/Lower 2x
F,51,56.2,1.62,avancado,5,60,Lower Focus (LULUL)
F,22,51.0,1.84,iniciante,4,80,Upper/Lower 2x
F,63,48.4,1.73,iniciante,5,60,Upper/Lower 3x + Full Body
M,37,79.0,1.65,avancado,4,60,Upper/Lower 2x
F,38,94.9,1.89,intermediario,4,50,Full Body 4x
M,57,70.1,1.67,avancado,3,90,Full Body 3x
F,16,87.5,1.86,iniciante,4,60,Upper/Lower 2x
M,60,101.3,1.55,avancado,6,70,PPL 2x
M,30,92.8,1.75,intermediario,6,40,Upper/Lower 3x
F,37,78.1,1.57,iniciante,5,80,Upper/Lower 3x + Full Body
F,31,60.9,1.64,iniciante,4,50,Full Body 4x
M,46,65.1,1.58,intermediario,6,50,Upper/Lower 3x
M,30,84.4,1.73,avancado,3,50,PPL 1x
M,42,69.0,1.93,iniciante,4,90,Upper/Lower 2x
M,31,99.0,1.63,avancado,3,90,PPL 1x
M,51,61.2,1.55,avancado,3,40,Full Body 3x
M,49,63.5,1.91,intermediario,3,70,Full Body 3x
M,27,56.4,1.53,avancado,6,80,Arnold Split
F,22,51.1,1.97,iniciante,6,80,PPL 2x
M,31,79.9,1.71,intermediario,4,60,Full Body 4x
M,33,57.3,1.81,iniciante,5,60,Upper/Lower 3x + Full Body
F,53,48.0,1.64,iniciante,4,70,Upper/Lower 2x
M,47,96.0,1.9,avancado,6,70,PPL 2x
F,30,62.2,1.78,iniciante,5,50,Upper/Lower 3x + Full Body
M,29,56.9,1.91,iniciante,6,60,PPL 2x
M,46,118.3,1.55,intermediario,5,60,Bro Split
M,47,104.7,1.97,intermediario,6,60,Upper/Lower 3x
M,50,66.4,1.8,avancado,5,80,Bro Split
F,19,92.4,1.78,intermediario,4,80,Upper/Lower 2x
F,48,72.1,1.59,iniciante,3,50,Full Body 3x
F,26,45.0,1.96,iniciante,4,60,Upper/Lower 2x
F,25,48.0,1.57,intermediario,4,70,Upper/Lower 2x
F,50,93.0,1.69,avancado,6,70,PPL 2x
F,29,51.8,1.58,avancado,6,70,PPL 2x
F,25,56.2,1.79,iniciante,5,70,Upper/Lower 3x + Full Body
M,28,102.4,1.97,avancado,6,80,Arnold Split
M,46,66.8,1.66,avancado,4,70,Upper/Lower 2x
F,23,52.0,1.87,iniciante,5,50,Upper/Lower 3x + Full Body
M,53,108.4,1.84,intermediario,5,60,Bro Split
M,27,100.1,1.68,avancado,3,40,PPL 1x
F,33,93.5,1.94,intermediario,6,60,Upper/Lower 3x
F,31,84.4,1.79,avancado,4,50,Full Body 4x
M,21,74.2,1.66,avancado,3,60,PPL 1x
M,53,102.6,1.77,avancado,3,60,Full Body 3x
F,64,80.2,1.72,intermediario,6,50,Upper/Lower 3x
M,23,118.3,1.7,intermediario,5,70,Bro Split
M,28,58.2,1.79,avancado,4,40,Full Body 4x
M,17,74.1,1.83,intermediario,4,40,Full Body 4x
F,26,93.9,1.74,iniciante,6,60,PPL 2x
F,54,49.6,1.77,iniciante,6,60,PPL 2x
F,33,67.0,1.63,avancado,3,50,PPL 1x
M,42,60.6,1.67,intermediario,4,70,Upper/Lower 2x
F,50,93.3,1.84,avancado,4,60,Upper/Lower 2x
M,22,87.6,1.95,avancado,4,50,Full Body 4x
M,45,116.7,1.58,iniciante,4,50,Full Body 4x
F,32,55.1,1.91,iniciante,5,60,Upper/Lower 3x + Full Body
M,44,60.7,1.78,intermediario,5,60,Bro Split
M,55,106.1,1.81,intermediario,6,50,Upper/Lower 3x
M,24,115.1,1.78,iniciante,5,80,Upper/Lower 3x + Full Body
F,52,58.2,1.83,intermediario,6,40,Upper/Lower 3x
M,28,95.2,1.84,intermediario,6,80,Arnold Split
M,29,58.2,1.74,iniciante,5,40,Upper/Lower 3x + Full Body
F,48,60.5,1.92,avancado,3,90,Full Body 3x
F,26,93.7,1.72,avancado,5,70,Upper/Lower 2x + Full Body
M,39,67.2,1.61,avancado,6,70,PPL 2x
M,52,88.5,1.58,iniciante,6,50,PPL 2x
M,50,66.3,1.94,iniciante,3,50,Full Body 3x
F,33,80.2,1.64,avancado,6,70,PPL 2x
M,23,70.7,1.74,intermediario,6,70,PPL 2x
M,30,109.4,1.63,avancado,3,60,PPL 1x
M,31,110.5,1.89,iniciante,4,70,Upper/Lower 2x
F,42,77.6,1.76,avancado,3,60,Full Body 3x
M,24,94.1,1.5,iniciante,5,70,Upper/Lower 3x + Full Body
F,43,66.2,1.69,iniciante,5,50,Upper/Lower 3x + Full Body
